id,name,type,cost,desc
n336000,Liyue Harbor Wharf,Place,2,
n336001,Knights of Favonius Library,Place,1,
n336002,Jade Chamber,Place,1,
n336003,Dawn Winery,Place,2,
n336004,Wangshu Inn,Place,2,
n336005,Favonius Cathedral,Place,2,
n336006,Paimon,Companion,3,
n336007,Katheryne,Companion,2,
n336008,Timaeus,Companion,2,
n336009,Wagner,Companion,2,
n336010,Chef Mao,Companion,1,
n336011,Tubby,Companion,2,
n336012,Timmie,Companion,0,
n336013,Liben,Companion,0,
n336014,Chang the Ninth,Companion,0,
n336015,Ellin,Companion,2,
n336016,Iron Tongue Tian,Companion,2,
n336017,Liu Su,Companion,1,
n336018,Parametric Transformer,Item,2,
n336019,NRE,Item,2,
